num,date,time,temp,light_intensity,Coupler Detached (LGR S/N: 21475269),Coupler Attached (LGR S/N: 21475269),Host Connected (LGR S/N: 21475269),Stopped (LGR S/N: 21475269),End Of File (LGR S/N: 21475269)
1,7/15/2022,10:43:50 AM,24.255,0,,,,,
2,7/15/2022,10:43:59 AM,,,Logged,,,,
3,7/15/2022,11:13:50 AM,25.513,0,,,,,
4,7/15/2022,11:43:50 AM,25.805,0,,,,,
5,7/15/2022,12:13:50 PM,26.488,0,,,,,
6,7/15/2022,12:43:50 PM,26.879,0,,,,,
7,7/15/2022,1:13:50 PM,27.173,0,,,,,
8,7/15/2022,1:43:50 PM,27.075,0,,,,,
9,7/15/2022,2:13:50 PM,27.075,0,,,,,
10,7/15/2022,2:43:50 PM,27.075,0,,,,,
11,7/15/2022,3:13:50 PM,27.075,0,,,,,
12,7/15/2022,3:43:50 PM,26.195,635.1,,,,,
13,7/15/2022,4:13:50 PM,26.977,484.4,,,,,
14,7/15/2022,4:43:50 PM,27.567,193.8,,,,,
15,7/15/2022,5:13:50 PM,27.862,495.1,,,,,
16,7/15/2022,5:43:50 PM,28.159,484.4,,,,,
17,7/15/2022,6:13:50 PM,28.258,484.4,,,,,
18,7/15/2022,6:43:50 PM,28.357,495.1,,,,,
19,7/15/2022,7:13:50 PM,28.357,161.5,,,,,
20,7/15/2022,7:43:50 PM,28.357,183,,,,,
21,7/15/2022,8:13:50 PM,28.357,183,,,,,
22,7/15/2022,8:43:50 PM,28.258,0,,,,,
23,7/15/2022,9:13:50 PM,28.258,161.5,,,,,
24,7/15/2022,9:43:50 PM,28.258,0,,,,,
25,7/15/2022,10:13:50 PM,28.258,0,,,,,
26,7/15/2022,10:43:50 PM,28.258,0,,,,,
27,7/15/2022,11:13:50 PM,28.258,0,,,,,
28,7/15/2022,11:43:50 PM,28.258,0,,,,,
29,7/16/2022,12:13:50 AM,28.258,0,,,,,
30,7/16/2022,12:43:50 AM,28.357,0,,,,,
31,7/16/2022,1:13:50 AM,28.357,0,,,,,
32,7/16/2022,1:43:50 AM,28.357,0,,,,,
33,7/16/2022,2:13:50 AM,28.357,0,,,,,
34,7/16/2022,2:43:50 AM,28.357,0,,,,,
